x,y
"쓰다,예쁘다",색상
"저렴하다,사다,하다,비싸다,시작하다,저렴하다,촉촉하다,좋다,따갑다,좋다,구매하다,같다",감촉
"유명하다,구매하다,무겁다,산뜻하다,좋다,괜찮다,쓰다,같다",향기
"넘다,쓰다,좋다,조절하다,사용하다,좋다,덥다,가볍다,하다",용량
"빠르다,있다,보내다,선물하다,좋다,사용하다,들다,답답하다,바르다,저렴하다,구매하다",감촉
"주문하다,하다,주문하다,어둡다,빠르다",색상
"넘치다,건조하다,필요하다,사다,쓰다,좋다,하다,촉촉하다,고급스럽다,들다,좋다,흡수되다",향기
"사용하다,오래되다,깔끔하다,괜찮다",디자인
"쓰다,커버도잘되다,지우다,않다,좋다,적다,쓰다",용량
"부드럽다,좋다",향기
"저렴하다,구매하다",가격
"예쁘다,좋다,안되다,좋다",향기
"이쁘다,좋다,이쁘다,쓰다,같다,지우다,번지다,아니다,떨어져나가다,하다,같다,이다",디자인
"섞다,바르다,좋다,환하다,되다,쓰다,바꾸다,만족스럽다",감촉
"저렴하다,많다,쓰다,좋다,하다,길다,없다,끈적이다,쓰다,좋다",감촉
"촉촉하다,좋다,쓰다,감사하다,쓸다",감촉
"많다,그렇다,쓰다,나다,주다,고맙다,하다",감촉
"좋다,바르다,달라지다,느끼다,많다,보다,뿌듯하다",용량
"튀다,은은하다,바르다,촉촉하다,할인되다,구입하다",색상
"있다,하다,바래다,반짝이다,깔끔하다,좋다,있다,하다,바래다",디자인
"쓰다,진하다,있다,좋다",감촉
"있다,사다,이쁘다,좋다,삐다,쓰다,기대되다",디자인
"피하다,피하다,좋다,부드럽다,상큼하다,많다,쓰다,향복하다,되다,피하다,피하다",색상
"어둡다,선호하다,사용하다,밝다,어둡다,나오다",색상
"사용하다,편하다,같다,많다,하다,오다,들다",용량
"좋아하다,작다,비싸다",용량
"좋다,사다,하다,고르다,힘들다,들다,진하다,발색하다,덧바르다,아니다,이상하다,되다,좋다,건조하다",색상
"되다,그렇다,번지다,길다,기대하다,구매하다,번지다,무르다,부드럽다,발리다,좋다",감촉
"쌀쌀하다,떨어지다,하다,들다,모르다,순하다,부드럽다,끈적이다,보드랍다,괜찮다,가다,없다,되다,오다,구입하다,저렴하다,구입하다",향기
"쓰다,구매하다,많다,같다,같다",용량
"진하다,쓰다,긴하다,비교하다,맞다",용량
이쁘다,색상
"쓰다,싸다,같다",가격
"사다,좋다,바르다,있다",향기
"하다,구입하다,예쁘다,같다,저렴하다,나다,쿠폰받다,받다,빠르다,감사드리다,주다,이다,고맙다",가격
"방문하다,결정하다,많다,괜찮다,괜찮다,사용하다,좋다,같다,많다",용량
예쁘다,디자인
"좋다,스럽다",감촉
"사용하다,좋다,같다,들다,그윽하다,자연스럽다,좋다,추천하다,사용하다,좋다",색상
"쓰다,믿다,살다,싸다,빠르다,좋다",가격
"핫하다,구매하다,끈적이다",감촉
"이쁘다,좋다,않다,좋다",디자인
"저렴하다,구매하다,사용하다",가격
"예쁘다,깔끔하다,같다,좋다,선물하다,좋다,타다,좋다,만족하다,다르다,구매하다,쓰다",색상
"빠르다,구매하다,사용하다,괜찮다,같다,비싸다,쓰다",가격
"예쁘다,괜찮다",디자인
"저렴하다,하다,오다,좋다",가격
"섞다,바르다,구매하다,좋다,힘들다,심하다,아니다",향기
"많다,좋다,짧다,아쉽다,안되다,많다,없어지다,같다,사용하다,사다,맞다,같다",용량
"사다,듣다,좋다,잘되다,좋다,심플하다,이쁘다",디자인
"쓰다,되다,구매하다,쓰다,재다,구매하다,되다,좋다,촉촉하다",감촉
"촉촉하다,좋다",감촉
"순하다,좋다",향기
"귀엽다,예쁘다",디자인
"하다,행복하다,좋다",향기
"쓰다,구매하다,높다,좋다",가격
"원하다,싸다,좋다",가격
"없다,만족하다,쓰다,아니다,다르다,오다,아쉽다,보내다,좋다",디자인
"빠르다,오다,좋다,하다,추천하다",향기
"나오다,되다,같다,가다,올라가다,촉촉하다,괜찮다,보다,있다,심하다,가볍다,바르다,좋다,같다,들다",감촉
"좋다,촉촉하다,들다",향기
"작다,괜찮다,푸짐하다,좋다,괜찮다",디자인
"없다,가볍다,화장하다,좋다,같다",향기
"훌륭하다,쓰다,구성되다,크다,쓰다,사용하다,쓰다",용량
"좋다,촉촉하다,환하다,하다,바래다",감촉
"보다,다르다,연하다,좋다",색상
"구매하다,들다,무난하다,없다,고르다,바르다,한몫하다",디자인
"싸다,빠르다,좋다",가격
"되다,쓰다,쓰다,주문하다,가다,사다,저렴하다,늦다,느리다,하다,만족하다",가격
"뜨다,좋다,같다,어둡다,뜨다,좋다,같다,어둡다,뜨다,좋다,같다,어둡다,뜨다,좋다,같다,어둡다,뜨다,좋다,같다",색상
"만족하다,진하다,원하다,원하다,오다,없다,크리미하다,좋다,줄다,닳다,같다,이쁘다,이쁘다,주다,아깝다,저렴하다,구입하다,좋다,빠르다,감사하다",디자인
"고급스럽다,이쁘다,강추하다,저렴하다,빠르다,좋다",디자인
"은은하다,좋다,좋다,찾다,발견하다,반갑다,구입하다,할인받다,좋다,구입하다,들다,사용하다,쓰다,주문하다,드리다,하다",향기
"사용하다,촉촉하다,좋다",감촉
"일다,구입하다,좋다,번지다,있다,안하다,놀다,구입하다,뵈다",감촉
"싸다,구매하다,좋다",향기
"하다,이쁘다,쓰다",색상
"아니다,바르다,바르다,좋다,같다,나오다,비슷하다,찾다,저렴하다,살다,같다,감사하다",가격
"촉촉하다,좋다,늦다",감촉
이쁘다,디자인
"좋다,간편하다,있다,좋다",향기
"순하다,쓰다,일다,순하다,좋다",감촉
"오래되다,더되다,저렴하다,넉넉하다,그러다,찡하다",가격
"이쁘다,좋다,하다",향기
"구매하다,쓰다,많다,좋다,같다,구매하다,쓰다,있다,같다,좋다",용량
"들다,상큼하다,좋다",향기
"사다,도착하다,보다,똑같다,예쁘다,빨갛다,기대하다,바르다,당황스럽다,예쁘다,바르다,다니다,리뉴얼되다,부탁드리다,예쁘다,만족하다,바르다,되다,같다",색상
"싸다,구매하다,좋다,아니다,진하다,없다,원하다,이쁘다,트다,많다,바르다,다니다,부각되다,바르다,바르다,되다,같다",디자인
"작다,화사하다,잘되다",용량
"쓰다,들다,찾다,만나다,두다,하다,보다,구매하다,안하다,많다,걱정하다,맞다,좋다,촉촉하다,쓰다",용량
"가지다,다니다,편하다,적다,넣다,없다,되다,착하다,쓰다,어둡다,구매하다",용량
"예쁘다,줄다,하다,예쁘다",색상
"가볍다,예쁘다,좋다",디자인
예쁘다,색상
"예쁘다,좋다,가늘다,사용하다,있다,좋다",디자인
"진하다,없다,바르다,바르다,발리다",색상
"쓰다,순하다,많다,쓰다,좋다",감촉
"저렴하다,구매하다",가격
"엄청나다,좋다,좋다,깔끔하다,닦이다,스며들다,있다",감촉
"드리다,구매하다,좋다,저렴하다,편하다,구매하다,있다,좋다",가격
"적다,쓰다,좋다,저렴하다,좋다",용량
"이쁘다,저렴하다,좋다",가격
"주문하다,도착하다,찾아보다,다르다,보다,저렴하다,구매하다,빠르다,들다,예민하다,순하다,찾다,구매하다,괜찮다",가격
"저렴하다,구매하다,만족하다",가격
"만족하다,작다",용량
"쓰다,빠르다,싸다,좋다",가격
"좋다,바르다,좋다,덧바르다,좋다",색상
"비싸다,이쁘다,좋다",디자인
좋다,향기
"사용하다,있다,하다,저렴하다,사다,쓰다",가격
"적다,쓰다,보다,밀리다,싫다,적다,쓰다,있다,가리다,쓰다,아니다,쓰다,쓰다,쓰다,같다,적다,톤보정이되다,하다,만족하다",용량
"받다,저렴하다,구입하다,만족하다",가격
"쓰다,안되다,좋다,좋다,평가하다,어렵다,무난하다,같다,싸다,비싸다,적당하다,같다,좋다,하다,바르다",향기
"구입하다,어떻다,궁금하다,시작하다,사용하다,비하다,작다,많다,비싸다,많다,좋다",용량
"하다,작다",용량
"있다,어둡다,나오다,사다,밝다,다르다,사다",색상
좋다,향기
"괜찮다,저렴하다,구매하다,묶음배송되다,일다",가격
"좋다,좋다,이쁘다,좋다,유명하다,알다",디자인
작다,용량
"자연스럽다,사용하다,깔끔하다,좋다,사다",디자인
"빠르다,예쁘다,들다",디자인
"바르다,가능하다,있다,예쁘다",색상
"구매하다,좋다,좋다,민감하다,부탁하다,하다,사다,포장하다",향기
"쓰다,맞다,좋다",가격
"안하다,아쉽다,싸다,좋다",가격
"무겁다,촉촉하다",향기
"쓰다,좋다,애용하다,깔끔하다,되다,잡다,좋다,같다,착하다,드리다",색상
"좋다,오다,달콤하다,꾸다,나다,좋다,트다,바르다,나아지다,보이다,바르다,좋다,바르다",향기
좋다,색상
"마르다,바르다,좋다,작다,이기다,깨끗하다,발리다,좋다",용량
"쓰다,바르다,좋다,촉촉하다,탱탱하다,쓰다,알다,있다,저렴하다,좋다",가격
"적당하다,들다,쓰다,하다",향기
"쓰다,나이들다,건조하다,같다,좋다,장만하다,좋다,간편하다,되다,좋다,얇다,한번하다,편하다",색상
"이쁘다,쓰다,다니다",색상
"믿다,살다,저렴하다,구매하다,같다,구매하다",가격
"강하다,좋다,구입하다,많다,산뜻하다",감촉
"촉촉하다,좋다,쓰다",감촉
"좋다,쓰다,아니다,매끈하다,질다",감촉
"사용하다,다르다,좋다,사다,아쉽다",색상
"쓰다,예쁘다,좋다",디자인
"맡다,주문하다,좋다",향기
"사용하다,들다,구입하다,되다,하다,바꾸다,건조하다,바르다,좋다",감촉
"사용하다,아니다,띄다,사용하다,부드럽다,바르다,스며들다,좋다",감촉
"빠르다,이쁘다,나다,수고하다",디자인
많다,용량
"무난하다,밝다,좋다,아니다,예쁘다,있다,좋다",향기
"맞다,이쁘다",디자인
일다,색상
"저렴하다,구매하다,쓰다,같다",가격
"빠르다,저렴하다,좋다,리뉴얼되다,이쁘다",디자인
"사용하다,좋아하다,좋아하다,기름지다,촉촉하다,추천하다,오다,귀엽다,좋다",디자인
"저렴하다,구매하다",가격
"촉촉하다,좋다,어둡다,같다,무난하다,쓰다",색상
"괜찮다,괜찮다,같다",향기
"구매하다,쓰다,좋다,재구매하다,저렴하다,사다,좋다,화사하다,하다,좋다,팔다",가격
"많다,선물하다,좋아하다",용량
"확인하다,예쁘다,촉촉하다,좋다,같다,팔다",디자인
"쓰다,바꾸다,뜨다,건조하다,들다",색상
"그렇다,들다",색상
"저렴하다,자다,같다,구매하다,푸짐하다",가격
"좋다,좋다,만족하다",디자인
"크다,좋다,쓰다,나다,깔끔하다,같다",용량
"잡히다,달리하다,많다,쓰다,감사하다",용량
"바르다,바르다,슬다,촉촉하다,많다,훌륭하다",용량
"푸다,연하다,추천하다,없다,푸다,참다,하다",색상
"작다,하다,주다,감사하다,같다,사다,좋아하다",용량
"하다,하다,옅다,모르다,기대하다,이쁘다,들다",디자인
"사용하다,싸다,좋다",가격
"작다,좋다,없다",용량
"사다,하다,마무리가되다,저렴하다,사다,슬다",가격
"빠르다,깔끔하다,좋다,감사하다",디자인
"좋다,좋다,얇다,바르다,뜨다,좋다,쓰다,감사하다",향기
"화사하다,예쁘다",색상
"구매하다,많다,사다,같다,구매하다,많다,사다,같다",감촉
"되다,크다,있다,아니다,진정되다,쓰다,비슷하다,많다",용량
"저렴하다,같다,못지않다,많다,좋다,받다,끌다,아프다,싸다,좋다,같다",용량
"촉촉하다,가볍다,좋다",감촉
"되다,다르다,쓰다,크다,없다,좋다,보다,애용하다,같다,감사하다,드리다,뺏기다,남다",향기
"쓰다,순하다,좋다,찾아보다,세일하다,좋다,오다,싸다,사다",향기
"빼다,하다,일다,착하다,좋다,같다,좋다",향기
좋다,색상
"투박하다,들다",감촉
"구매하다,사용하다,이쁘다,좋다,부담스럽다,사용하다,괜찮다,같다,좋다,금방픽스되다,번지다,쓰다,비싸다,비싸다,하다",디자인
"이쁘다,저렴하다",색상
괜찮다,감촉
"다르다,비하다,있다,좋다,되다,같다,쓰다,가렵다,꼭써야되다,사용하다,나쁘다",용량
"좋다,좋다,사다",향기
"친하다,사용하다,밝다,구입하다,노랗다,돌다,구입하다,바르다,촉촉하다,건조하다,나다,비싸다,건조하다,촉촉하다,사용하다,건조하다",가격
"하다,않다,좋다",향기
"쓰다,좋다,건조하다,뿌리다,저렴하다,구매하다",가격
"저렴하다,구입하다,같다,만족하다,어리다,쓰다,크다,정착하다,바르다,없다,괜찮다,같다,좋다,좋다,판매하다,감사하다",감촉
"쓰다,주문하다,비슷하다,쓰다,좋다",색상
"바꾸다,일어나다,쓰다,많다,정착하다,되다,같다,많다,순하다,쓰다,알다,바르다,바르다,두껍다,바르다",용량
"바르다,자연스럽다,환하다,좋다,좋다,맞다,바르다,장하다,받다,바르다,허옇다,바르다,좋다",용량
"사용하다,번지다,하다,선택하다,지우다,하다,올리다,좋다,하다,좋다,모르다,들어가다,가렵다,하다,그러다",감촉
"크다,찾다,받다",용량
"많다,좋다,바르다",용량
"다르다,사용하다,구매하다,비하다,비싸다,비교하다,다르다,만족스럽다,배송받다,사용하다,먹다",용량
"받다,촉촉하다,좋다,사용하다,재구입하다",향기
"사다,이쁘다,좋다,좋다",디자인
"보다,드물다,적용되다,구입하다,풍성하다,좋다,좋다,급하다,스며들다,밀리다,촉촉하다,좋다,좋아하다,사용하다",감촉
"곱다,뭉치다,좋다",감촉
"사다,쓰다,좋다,좋다,싸다,사다,있다,푸짐하다,다르다,바르다,환하다,되다,같다,추천하다",색상
"좋다,좋다",향기
"좋다,촉촉하다",향기
"애용하다,저렴하다,사다,순하다,바르다,있다,같다,감사하다",가격
"알다,쓰다,작다,저렴하다,구매하다,좋다,같다,휴대하다,좋다,빠르다,들다,작다,챙기다,넣다,감사하다,팔다",용량
"이쁘다,챙기다,쓰다,놀라다,사다,가다,들다",색상
"받다,많다,같다",용량
"부드럽다,좋다,이쁘다,구매하다,받다,좋다",향기
"촉촉하다,좋다",색상
"쓰다,촉촉하다,좋다,다르다,비교하다,쓰다,촉촉하다,산뜻하다,있다,쓰다,당기다",감촉
만족하다,가격
"쓰다,주문하다,바르다,화장하다,번들거리다,하다,신다,하다,싸다,고민하다,쓰다,저지르다",감촉
"비싸다,적다,나다,바르다,모르다",용량
"예쁘다,안되다,하다,예쁘다,빠르다,좋다",색상
"쓰다,주문하다,하다,주문하다,얇다,뭉치다,발리다,만족스럽다,쓰다,테스트하다,적당하다,하다,돌다,어둡다,보이다,하다",감촉
"포함하다,쓰다,계속되다,완치하다,고맙다,잘되다,줄다,가득하다,비하다",감촉
"적다,아쉽다,부드럽다,발리다,좋다,쓰다",용량
"걸리다,짜증나다,쓰다,재다,구매하다,만족하다,같다,끈적이다,스며들다,모르다,푸다,바르다,되다,지르다,바르다",용량
"어둡다,같다,있다,어울리다,밝다,맑다,바르다,구매하다,기대하다,좋다,저렴하다,좋다,기대하다,오다,실망하다,빠르다,깜놀하다,감사드리다,받다",색상
"구매하다,확인하다,교환하다,있다,좋다,선택하다,잘되다,내추럴하다,화사하다,살려주다,같다,작다,하다,크다,많다",색상
"사용하다,휴대하다,좋다",향기
좋다,색상
"들다,그리다,수월하다",디자인
"하다,구매하다,예쁘다,좋다,다르다,나오다,좋다,같다",디자인
"쓰다,같다,크다,쓰다,좋다,쓰다",용량
"그렇다,좋다,좋다,좋다,이쁘다,작다,귀엽다,좋다,쓰다",디자인
"안하다,들다,좋다,사용하다",색상
"빠르다,만족하다,안전하다,되다,도착하다",디자인
"들다,들다,사용하다,있다,좋다",향기
"저렴하다,살다,같다",가격
"만족하다,쓰다,좋다",향기
,용량
"이쁘다,안하다",색상
"좋다,좋다",향기
"쓰다,예쁘다,좋다",디자인
"쓰다,좋다,사다,하다,저렴하다,사다",가격
"다르다,이쁘다,모으다,괜찮다,이쁘다,들다",디자인
"되다,없다,만족스럽다,사용하다,되다,같다,먹다,강하다,은은하다",향기
"좋다,쓰다,차다,우수하다,사다,어둡다,주문하다",색상
"쓰다,구매하다,좋다,좋다,쓰다,구매하다,파다,빠르다",향기
많다,용량
"받다,쓰다,끈적이다,빠르다,깔끔하다,발리다,좋다,구매하다,좋다,적다,건조하다,피하다",감촉
"저렴하다,좋다,상큼하다,깔끔하다,좋다,신경쓰다,하다,좋다",디자인
"깔끔하다,좋다,만족스럽다",디자인
"쓰다,발리다,좋다",감촉
"스며들다,만족하다",감촉
"이쁘다,좋다",디자인
"촉촉하다,좋다",감촉
"저렴하다,사다,곱다,발리다",가격
"들다,좋다,오다",가격
"급하다,필요하다,배송되다,좋다,쓰다,많다,쓰다",용량
"순하다,좋다",감촉
"밝다,걱정하다,좋다,들뜨다,적당하다,바르다,뜨다,좋다",색상
"바르다,촉촉하다,좋다,바르다,자다,좋다,버들거리다,좋다,들다,바르다",감촉
"좋다,은은하다,좋다",향기
"민감하다,괜찮다",향기
"고급스럽다,편리하다,지우다",디자인
"바르다,당기다,바르다,빠르다,작다,나가다,바르다,생각하다,사다",용량
"들다,부드럽다",디자인
"빠르다,살다,싸다,좋다,같다",가격
"쓰다,알다,실망하다,예쁘다,들다",디자인
"비싸다,있다,자연스럽다,커버되다,없다",가격
"쓰다,은은하다,적당하다,낫다",향기
"필요하다,하다,사다,이쁘다,괜찮다,싸다,같다,쓰다,살다",디자인
"깔끔하다,좋다",디자인
"저렴하다,그려지다",가격
"많다,사다,쓰다,괜찮다,떡지다,나오다,아니다,적다,적다,같다,좋다,만족하다",용량
"떨어지다,이쁘다,구매하다",색상
"좋다,꼼꼼하다,오다,예쁘다,만족스럽다",디자인
"사다,저렴하다,구입하다,어둡다,쓰다,베이다,구매하다,하다",색상
"같다,먹이다,두들기다,밀리다,없다,예쁘다",색상
"빠르다,오다,쓰다,촉촉하다,좋다",감촉
"주다,아쉽다,쓰다",용량
"쓰다,맞다,좋다,있다,묽다,하다,바르다,되다,촉촉하다,좋아하다",감촉
"저렴하다,예쁘다",색상
"싸다,사다,길다",가격
"은은하다,좋다,빠르다,바르다,찐득하다,아니다,부드럽다,발리다,좋다",향기
"쓰다,사다,강하다,사용하다,모르다,말다,넣다,보내다,있다,없다,보이다",향기
"하다,나오다,좋다,그려지다",감촉
"기능하다,좋다,떠오르다,있다,하다,산뜻하다,없다,사라지다,저렴하다",감촉
"다르다,쓰다,바꾸다,순하다,좋다",감촉
"좋아하다,트다,시키다,주문하다,좋아하다,트다,휴대하다,다니다,바르다,좋다",디자인
"크다,놀라다,있다,들다",색상
"테스트받다,사다,하다,묽다,모르다,바르다,쓰다,바르다,좋다",용량
"묽다,진득하다,알다,묽다,바르다,깔끔하다,같다,바르다,좋다,같다,많다,저렴하다,좋다",용량
"쓰다,좋다,다양하다,건조하다,좋다,많다,좋다,적다",용량
"고민하다,구입하다,괜찮다,고급스럽다,만족스럽다",디자인
"빠르다,좋다,구매하다,좋다,저렴하다",가격
"가을되다,그렇다,예쁘다,리하다",색상
"은은하다,깨끗하다,같다",향기
"만족하다,믿다,쓰다,구매하다,쓰다,다르다,구매하다,도움되다,기대하다,번창하다",가격
"순하다,강하다,좋다",향기
"이쁘다,빨갛다,비하다,바르다,나다,작다,자다,같다,달달하다",향기
"무난하다,튀다,좋다,좋다",색상
"없다,투명하다,촉촉하다,좋다",감촉
"듣다,강하다,하다,익숙하다,사용하다,있다,하다,구입하다,사용하다,있다,같다,달라붙다,건조하다,잡다,있다",향기
"좋다,하다,하다,구입하다,다르다,비교하다,좋다,모르다,가볍다,발리다,건조하다,같다,원하다,없다,같다",감촉
"남다,쓰다,저렴하다,사다,쓰다",가격
"오다,좋다,믿다,살다,가볍다,좋다,무겁다,좋다,다양하다,좋다,같다",색상
"사용하다,구매하다,좋다,드라마틱하다,아니다,쓰다,가라앉다,빠르다,같다,다르다,타다,낫다,같다,좋다,잇다,위하다,쓰다,구매하다,빠르다,나르다,팔다",감촉
"가볍다,쓰다,좋다,좋다,가볍다,발리다,쓰다,좋다",향기
"쓰다,하다,저렴하다,구매하다,구매하다,구매하다,도착하다,빠르다,좋다,생산되다,안심하다,구매하다",가격
"사다,쓰다,쓰다,괜찮다,구매하다,쓰다,낫다,순하다,좋다,쓰다,잘되다,많다,좋다,특이하다,빼다,없다",용량
"사용하다,촉촉하다,좋다,하다,살다,사다,괜찮다,같다,촉촉하다,같다,많다,같다,같다,있다,쓰다,편하다,좋다,같다,쓰다,좋다,사다",용량
"쓰다,쓰다,아니다,저렴하다,구매하다,같다,빠르다",가격
저렴하다,가격
"저렴하다,좋다,같다,선물하다,적다,서운하다",용량
"하다,이쁘다,차분하다,세련되다,또렷하다,발색되다,살다,들다",색상
"세다,다르다,많다,생각하다,아끼다,쓰다,괜찮다,같다,좋다,바르다,좋다",용량
"고급스럽다,좋다,먹다,예쁘다,바르다,만족하다",디자인
"바르다,먹다,지우다,지우다,이쁘다,좋다",디자인
,색상
"들다,이쁘다,담기다,일다,쓸다",색상
"지우다,이쁘다,좋다,부러지다,오다,쓰다",디자인
"들다,무난하다,예쁘다",디자인
"좋다,좋다",향기
"늦다,하다,저렴하다,말하다,없다,걸리다,번창하다",가격
"좋다,좋다",향기
"예쁘다,들다,재주문하다",디자인
"사다,쓰다,쓰다,있다,괜찮다,적다,좋다,예쁘다",용량
"이쁘다,가리다,어울리다,같다,매트하다,좋다,편하다",감촉
"예쁘다,마르다,떨어지다,아쉽다,마르다,씌우다,답답하다,싫어하다,드리다",색상
"좋다,쓰다,좋다,많다,같다",용량
"드리다,촉촉하다,좋다,하다,덜하다,하다,괜찮다",감촉
"없다,있다,말다,이다,하다,좋다,생각하다,구입하다,연하다,발리다,바르다",색상
"저렴하다,만족하다",가격
"촉촉하다,좋다,바르다",감촉
"촉촉하다,좋다,밝다,알다,그렇다,이쁘다,이쁘다,사다",감촉
"있다,좋다,만족하다",향기
이쁘다,색상
"사용하다,날리다,바르다,깔끔하다,좋다,같다,애용하다,같다",디자인
"빠르다,싸다,사다,작다,크다,알다,줄이다,사다,다르다,이쁘다",색상
"많다,좋다,같다,사다,촉촉하다,쓰다,쓰다,쓰다",색상
"많다,부드럽다,좋다,좋다",용량
좋다,향기
"선물하다,좋다,하다,진하다,하다",색상
괜찮다,향기
"많다,괜찮다",용량
"쓰다,사용하다,좋다,당기다,구입하다,촉촉하다,같다",색상
"좋다,빠르다,이쁘다,감사하다",색상
"쓰다,믿다,쓰다,좋다,뜨다,촉촉하다,빠르다",감촉
"빠르다,이쁘다,만족하다,은은하다",색상
"사하다,예쁘다",색상
"저렴하다,같다,주문하다,되다,사용하다,특별하다,없다,사용하다,비싸다,저렴하다,구입하다,같다,좋다,말다,팔다",가격
"많다,좋다",용량
"빠르다,구매하다,저렴하다",가격
"밝다,나쁘다,있다,다르다,구입하다,저렴하다,많다",용량
"싸다,빠르다",가격
"촉촉하다,좋다,진하다,좋다",향기
"저렴하다,잘하다,좋다,좋다,좋다,잘하다,같다,좋다",향기
"추천하다,연출되다",디자인
"쓰다,좋다,구매하다,촉촉하다,들다,상큼하다,바르다,매끄럽다,좋다,받다,아니다",향기
